t (s),V (mV)
0,13.6609
0.973,13.6544
1.911,13.6471
2.91,13.641
3.91,13.636
4.91,13.6297
5.91,13.6239
6.91,13.6187
7.909,13.6119
8.91,13.6049
9.91,13.6051
10.909,13.5926
11.91,13.584
12.909,13.5785
13.91,13.5702
14.91,13.567
15.909,13.5607
16.91,13.5583
17.91,13.5484
18.91,13.5427
19.909,13.5338
20.91,13.5278
21.91,13.5218
22.91,13.515
23.91,13.5077
24.909,13.5014
25.91,13.494
26.91,13.4876
27.909,13.4805
28.91,13.4732
29.91,13.4662
30.91,13.46
31.91,13.4527
32.91,13.4471
33.91,13.4391
34.91,13.4322
35.91,13.4252
36.91,13.4183
37.91,13.4114
38.91,13.4037
39.909,13.3969
40.91,13.3901
41.91,13.3821
42.909,13.3757
43.91,13.3682
44.91,13.3614
45.91,13.3548
46.91,13.347
47.91,13.3402
48.91,13.3333
49.91,13.3259
50.91,13.3201
51.91,13.3124
52.909,13.3061
53.91,13.299
54.91,13.292
55.91,13.2853
56.91,13.2781
57.91,13.271
58.91,13.2657
59.91,13.2589
60.91,13.2516
61.91,13.2441
62.91,13.2391
63.91,13.2326
64.91,13.226
65.91,13.219
66.91,13.2115
67.91,13.2063
68.91,13.1994
69.91,13.1943
70.91,13.1874
71.91,13.1817
72.91,13.1749
73.91,13.1683
74.91,13.161
75.91,13.1559
76.91,13.1491
77.91,13.142
78.91,13.1357
79.91,13.1307
80.91,13.1238
81.91,13.1166
82.91,13.1111
83.909,13.1036
84.91,13.0978
85.91,13.0911
86.91,13.0845
87.91,13.0781
88.91,13.0708
89.91,13.0648
90.91,13.0588
91.91,13.0523
92.91,13.0459
93.91,13.0398
94.91,13.0331
95.91,13.0265
96.91,13.0209
97.91,13.0134
98.91,13.0079
99.91,13.0018
100.91,12.9961
101.91,12.9891
102.91,12.9816
103.91,12.9766
104.91,12.9706
105.91,12.9645
106.91,12.9584
107.91,12.9515
108.91,12.9449
109.91,12.9386
110.909,12.932
111.91,12.9261
112.909,12.9197
113.91,12.913
114.91,12.9077
115.91,12.9003
116.91,12.8942
117.91,12.8873
118.91,12.8814
119.91,12.8756
120.91,12.8686
121.91,12.8627
122.91,12.8555
123.91,12.8499
124.91,12.842
125.91,12.8372
126.91,12.8311
127.91,12.8237
128.91,12.8173
129.91,12.8093
130.91,12.805
131.91,12.7976
132.91,12.7945
133.91,12.7862
134.91,12.7822
135.909,12.7766
136.91,12.7658
137.909,12.7622
138.91,12.7593
139.91,12.75
140.91,12.7492
141.91,12.7433
142.91,12.7365
143.91,12.7309
144.91,12.7245
145.909,12.7184
146.91,12.7131
147.91,12.7082
148.91,12.7025
149.91,12.6955
150.91,12.6904
151.91,12.6843
152.91,12.6792
153.91,12.6736
154.91,12.6672
155.91,12.6611
156.91,12.6555
157.909,12.649
158.91,12.6416
159.91,12.6371
160.91,12.6296
161.91,12.6238
162.91,12.6184
163.91,12.6122
164.91,12.6066
165.91,12.6003
166.909,12.5948
167.91,12.5886
168.909,12.5835
169.91,12.5772
170.91,12.5708
171.91,12.5651
172.91,12.5594
173.91,12.5526
174.91,12.5466
175.91,12.5411
176.91,12.5359
177.91,12.5307
178.909,12.5252
179.91,12.5206
180.91,12.515
181.91,12.5094
182.91,12.5042
183.91,12.4995
184.91,12.4928
185.91,12.4885
186.91,12.4821
187.909,12.4774
188.91,12.4725
189.91,12.4666
190.91,12.4613
191.91,12.4559
192.909,12.4501
193.91,12.4441
194.91,12.4383
195.909,12.4315
196.91,12.4258
197.91,12.4208
198.909,12.4151
199.91,12.4084
200.91,12.4027
201.91,12.3975
202.91,12.3916
203.91,12.3864
204.909,12.3797
205.91,12.3745
206.91,12.3694
207.91,12.3638
208.91,12.3588
209.91,12.3536
210.91,12.3487
211.91,12.3428
212.91,12.3382
213.909,12.332
214.91,12.3272
215.91,12.3214
216.91,12.3167
217.91,12.3131
218.91,12.3071
219.91,12.3021
220.909,12.2962
221.91,12.2921
222.91,12.2855
223.91,12.2813
224.91,12.2753
225.91,12.269
226.91,12.264
227.91,12.2584
228.91,12.2523
229.91,12.2458
230.91,12.2412
231.91,12.2378
232.91,12.2295
233.91,12.224
234.91,12.2193
235.91,12.2135
236.91,12.2093
237.91,12.2022
238.91,12.1971
239.91,12.1914
240.91,12.1862
241.91,12.1808
242.91,12.1767
243.91,12.1715
244.91,12.1671
245.91,12.1619
246.909,12.1562
247.91,12.1509
248.91,12.1466
249.909,12.1402
250.91,12.1364
251.91,12.1321
252.91,12.1266
253.909,12.1213
254.91,12.1167
255.91,12.1112
256.91,12.1063
257.91,12.1018
258.909,12.0968
259.91,12.093
260.91,12.0882
261.91,12.0823
262.91,12.0775
263.91,12.0739
264.91,12.0686
265.91,12.0626
266.91,12.0577
267.91,12.0525
268.91,12.0462
269.91,12.0414
270.91,12.0361
271.91,12.0306
272.91,12.025
273.91,12.0205
274.91,12.0156
275.91,12.0098
276.909,12.005
277.91,11.9988
278.91,11.9932
279.91,11.9886
280.91,11.9825
281.909,11.9789
282.91,11.9733
283.91,11.9686
284.909,11.9627
285.91,11.9593
286.91,11.9536
287.91,11.9502
288.91,11.9448
289.909,11.9402
290.91,11.9352
291.91,11.9306
292.91,11.9262
293.91,11.915
294.91,11.9157
295.91,11.9123
296.91,11.9085
297.91,11.9037
298.91,11.8991
299.91,11.8944
300.91,11.8904
301.91,11.884
302.91,11.8793
303.909,11.8752
304.91,11.8682
305.91,11.8637
306.91,11.8582
307.909,11.8535
308.91,11.848
309.91,11.8436
310.91,11.8376
311.91,11.8357
312.91,11.8276
313.91,11.8232
314.91,11.8183
315.91,11.8133
316.91,11.8077
317.91,11.8026
318.909,11.798
319.91,11.793
320.91,11.7884
321.91,11.7845
322.91,11.78
323.91,11.7758
324.91,11.7713
325.91,11.7664
326.91,11.7624
327.91,11.7579
328.909,11.7531
329.91,11.7489
330.91,11.7452
331.91,11.7407
332.909,11.7358
333.91,11.7317
334.91,11.727
335.91,11.7226
336.91,11.7172
337.91,11.7125
338.909,11.7072
339.91,11.7011
340.91,11.6962
341.91,11.6915
342.91,11.6863
343.91,11.6814
344.91,11.6766
345.91,11.6715
346.91,11.667
347.91,11.6621
348.91,11.6578
349.909,11.6523
350.91,11.6469
351.91,11.6411
352.91,11.6371
353.91,11.6331
354.909,11.6277
355.91,11.6234
356.91,11.6189
357.91,11.614
358.91,11.6087
359.91,11.6048
360.909,11.6009
361.91,11.5957
362.91,11.5919
363.91,11.5883
