"I,mA","dX,cm",Deltax
1460.8,0,0
514.3,14.5,0.5
250.71,15.1,0.5
157.32,13.4,0.5
95.2,7.1,0.5
66.78,3.5,0.2
56.05,1.3,0.2
44.54,1.1,0.1
39.215,1.7,0.2
28.131,1.2,0.1
15.38,1.5,0.1
0,4.3,0.5
-15.384,7.2,0.5
-28.118,9.2,0.5
-39.19,21,0.5
-44.499,12.7,0.5
-56.05,21.8,0.5
-66.72,11.4,0.5
-95.17,20.7,0.5
-157.26,21,0.5
-250.48,15.2,0.5
-513.8,19.1,0.5
-1459.5,17.4,0.5
-514.6,-16.7,0.5
-250.7,-21.5,0.5
-157.44,-10.4,0.5
-95.1,-7.1,0.5
-66.82,-3.5,0.2
-57.08,-1.2,0.1
-44.51,-1.4,0.1
-39.17,-1.2,0.1
-28.115,-1.8,0.1
-15.368,-1.1,0.1
0,-4,0.2
15.375,-7.2,0.5
28.11,-9.3,0.5
39.185,-21.5,0.5
44.507,-12.6,0.5
56.05,-22,1
66.73,-11.6,0.5
95.08,-21,1
157.28,-21.8,0.5
250.54,-15.2,0.5
513.9,-18.8,0.5
1458.5,-17.3,0.5
